person_id,service_id,password,role,unit
p_00094,CRPF-PER-00094,demo-p-00094-2026,personnel,1st Company
p_00095,CRPF-PER-00095,demo-p-00095-2026,personnel,2nd Company
p_00096,CRPF-PER-00096,demo-p-00096-2026,personnel,3rd Company
p_00097,CRPF-PER-00097,demo-p-00097-2026,personnel,1st Company
p_00098,CRPF-PER-00098,demo-p-00098-2026,personnel,2nd Company
p_00099,CRPF-PER-00099,demo-p-00099-2026,personnel,3rd Company
p_00100,CRPF-PER-00100,demo-p-00100-2026,personnel,1st Company
p_00101,CRPF-PER-00101,demo-p-00101-2026,personnel,2nd Company
p_00102,CRPF-PER-00102,demo-p-00102-2026,personnel,3rd Company
p_00103,CRPF-PER-00103,demo-p-00103-2026,personnel,1st Company
p_00104,CRPF-PER-00104,demo-p-00104-2026,personnel,2nd Company
p_00105,CRPF-PER-00105,demo-p-00105-2026,personnel,3rd Company
p_00106,CRPF-PER-00106,demo-p-00106-2026,personnel,1st Company
p_00107,CRPF-PER-00107,demo-p-00107-2026,personnel,2nd Company
p_00108,CRPF-PER-00108,demo-p-00108-2026,personnel,3rd Company
p_00109,CRPF-PER-00109,demo-p-00109-2026,personnel,1st Company
p_00110,CRPF-PER-00110,demo-p-00110-2026,personnel,2nd Company
p_00111,CRPF-PER-00111,demo-p-00111-2026,personnel,3rd Company
p_00112,CRPF-PER-00112,demo-p-00112-2026,personnel,1st Company
p_00113,CRPF-PER-00113,demo-p-00113-2026,personnel,2nd Company
p_00114,CRPF-PER-00114,demo-p-00114-2026,personnel,3rd Company
p_00115,CRPF-PER-00115,demo-p-00115-2026,personnel,1st Company
p_00116,CRPF-PER-00116,demo-p-00116-2026,personnel,2nd Company
p_00117,CRPF-PER-00117,demo-p-00117-2026,personnel,3rd Company
p_00118,CRPF-PER-00118,demo-p-00118-2026,personnel,1st Company
p_00119,CRPF-PER-00119,demo-p-00119-2026,personnel,2nd Company
p_00120,CRPF-PER-00120,demo-p-00120-2026,personnel,3rd Company
p_00121,CRPF-PER-00121,demo-p-00121-2026,personnel,1st Company
p_00122,CRPF-PER-00122,demo-p-00122-2026,personnel,2nd Company
p_00123,CRPF-PER-00123,demo-p-00123-2026,personnel,3rd Company
p_00124,CRPF-PER-00124,demo-p-00124-2026,personnel,1st Company
p_00125,CRPF-PER-00125,demo-p-00125-2026,personnel,2nd Company
p_00126,CRPF-PER-00126,demo-p-00126-2026,personnel,3rd Company
p_00127,CRPF-PER-00127,demo-p-00127-2026,personnel,1st Company
p_00128,CRPF-PER-00128,demo-p-00128-2026,personnel,2nd Company
p_00129,CRPF-PER-00129,demo-p-00129-2026,personnel,3rd Company
p_00130,CRPF-PER-00130,demo-p-00130-2026,personnel,1st Company
p_00131,CRPF-PER-00131,demo-p-00131-2026,personnel,2nd Company
p_00132,CRPF-PER-00132,demo-p-00132-2026,personnel,3rd Company
p_00133,CRPF-PER-00133,demo-p-00133-2026,personnel,1st Company
p_00134,CRPF-PER-00134,demo-p-00134-2026,personnel,2nd Company
p_00135,CRPF-PER-00135,demo-p-00135-2026,personnel,3rd Company
p_00136,CRPF-PER-00136,demo-p-00136-2026,personnel,1st Company
p_00137,CRPF-PER-00137,demo-p-00137-2026,personnel,2nd Company
p_00138,CRPF-PER-00138,demo-p-00138-2026,personnel,3rd Company
p_00139,CRPF-PER-00139,demo-p-00139-2026,personnel,1st Company
p_00140,CRPF-PER-00140,demo-p-00140-2026,personnel,2nd Company
p_00141,CRPF-PER-00141,demo-p-00141-2026,personnel,3rd Company
p_00142,CRPF-PER-00142,demo-p-00142-2026,personnel,1st Company
p_00143,CRPF-PER-00143,demo-p-00143-2026,personnel,2nd Company
p_00144,CRPF-PER-00144,demo-p-00144-2026,personnel,3rd Company
p_00145,CRPF-PER-00145,demo-p-00145-2026,personnel,1st Company
p_00146,CRPF-PER-00146,demo-p-00146-2026,personnel,2nd Company
p_00147,CRPF-PER-00147,demo-p-00147-2026,personnel,3rd Company
p_00148,CRPF-PER-00148,demo-p-00148-2026,personnel,1st Company
p_00149,CRPF-PER-00149,demo-p-00149-2026,personnel,2nd Company
p_00150,CRPF-PER-00150,demo-p-00150-2026,personnel,3rd Company
cmd_1st,CRPF-CMD-1ST,demo-commander-1st-2026,commander,1st Company
cmd_2nd,CRPF-CMD-2ND,demo-commander-2nd-2026,commander,2nd Company
cmd_3rd,CRPF-CMD-3RD,demo-commander-3rd-2026,commander,3rd Company
wel_1st,CRPF-WEL-1ST,demo-welfare-1st-2026,welfare_officer,1st Company
wel_2nd,CRPF-WEL-2ND,demo-welfare-2nd-2026,welfare_officer,2nd Company
wel_3rd,CRPF-WEL-3RD,demo-welfare-3rd-2026,welfare_officer,3rd Company
